participant,time,rr,rr_fft
P01,30,14.84406483,14.0293874
P01,60,17.71737367,9.997145404
P01,90,20.38208021,12.01048177
P01,120,16.95387886,13.9794662
P01,150,15.58200035,12.0110439
P01,180,20.35654428,11.98308265
P01,210,18.84020839,12.0101547
P01,240,19.02691213,8.001088567
P01,270,18.01298331,6.00218555
P01,300,21.2329297,7.997880971
P02,30,17.24565943,18.03806277
P02,60,17.63309905,19.98628993
P02,90,20.25023075,8.004103944
P02,120,18.43551645,17.99137724
P02,150,18.87980805,18.03079766
P02,180,20.1343197,17.97438872
P02,210,20.65540438,20.01284399
P02,240,19.00810458,19.98691447
P02,270,18.74038976,19.99497757
P02,300,18.46387368,17.98216037
P03,30,17.35926726,18.04364675
P03,60,14.620095,13.98682048
P03,90,15.12967499,14.01084776
P03,120,16.97911403,17.98377169
P03,150,16.72742445,16.02255074
P03,180,15.65428049,9.99159148
P03,210,14.94966538,13.99093946
P03,240,13.79471315,14.00594814
P03,270,14.16400341,14.00364069
P03,300,18.10708421,7.994460243
P04,30,16.39207201,12.0225116
P04,60,19.49353219,14.00876244
P04,90,18.16879749,17.9893774
P04,120,14.74562895,15.99992711
P04,150,14.5874402,10.00539638
P04,180,18.70873051,7.999725118
P04,210,15.20088072,15.99467381
P04,240,18.87665937,16.01047892
P04,270,18.57698909,9.989221588
P04,300,15.3005722,7.996800553
P05,30,11.65363246,10.012428
P05,60,11.05694172,12.00813085
P05,90,13.06253241,11.99145959
P05,120,10.87592933,10.00648855
P05,150,11.33493386,10.00329946
P05,180,11.0698304,12.00710687
P05,210,15.0320487,10.00034147
P05,240,11.45036831,9.994315582
P05,270,11.34335121,11.9935757
P05,300,10.92540639,9.997508636
P06,30,14.35323601,10.03317055
P06,60,15.83709308,10.01294274
P06,90,16.19398113,11.99555655
P06,120,19.99917378,9.980397915
P06,150,17.26748135,10.01384715
P06,180,19.31244388,9.9813398
P06,210,17.70605854,7.993858426
P06,240,21.77131135,9.998640507
P06,270,14.86808046,7.989942093
P06,300,16.03970129,16.02197678
P07,30,19.91379862,6.040941547
P07,60,17.49683135,6.002517104
P07,90,18.62398322,11.99671673
P07,120,17.63912569,16.00077716
P07,150,18.38727058,17.98073097
P07,180,17.10464549,13.98679344
P07,210,16.18302427,16.02737446
P07,240,16.5348563,11.99504842
P07,270,17.1933284,7.991021513
P07,300,19.06277627,28.01536177
P08,30,13.31448796,12.0318539
P08,60,10.67917233,9.988829094
P08,90,12.53960116,12.00006249
P08,120,10.58089009,10.00659386
P08,150,10.57251087,9.993541565
P08,180,15.15021871,12.00799424
P08,210,12.98443903,9.993566891
P08,240,10.89486309,10.00416501
P08,270,10.68518614,10.00615425
P08,300,10.8045074,11.99435199
P09,30,15.07152705,6.005223235
P09,60,11.24445995,7.992373855
P09,90,16.54530352,7.995784754
P09,120,10.45815555,8.009354534
P09,150,10.74381117,7.989543564
P09,180,11.28252997,6.009023595
P09,210,12.27075043,9.996863752
P09,240,14.7494807,10.00296232
P09,270,16.96060424,7.993781935
P09,300,9.088892229,9.999882537
P10,30,17.81047881,10.07386171
P10,60,20.04233089,6.002730745
P10,90,18.70911372,10.00873422
P10,120,16.24572799,9.993017321
P10,150,19.65046495,23.98607286
P10,180,17.02842539,17.99860216
P10,210,19.05408823,26.02061415
P10,240,23.23826873,7.991795442
P10,270,20.20005196,7.997995986
P10,300,19.03406968,9.99202025
P11,30,16.47078818,6.002705427
P11,60,13.89676453,14.01229295
P11,90,17.12878908,13.97457209
P11,120,17.24734984,6.008511914
P11,150,10.70801338,10.00158944
P11,180,14.71220235,9.995134189
P11,210,17.33375842,13.98236234
P11,240,17.07022154,11.98935819
P11,270,12.80934201,10.00095041
P11,300,11.59542464,12.01143015
P12,30,17.63902585,6.001105937
P12,60,13.76594018,14.02027945
P12,90,18.04094276,9.983950458
P12,120,18.43225463,10.01168408
P12,150,15.98450982,13.99607336
P12,180,18.71252746,17.99175556
P12,210,14.73344816,10.00047654
P12,240,17.46030032,20.01904976
P12,270,18.39495762,17.99535001
P12,300,18.40011027,6.001290372
P13,30,14.91882131,6.019615693
P13,60,12.19809,11.98070453
P13,90,14.7479441,8.000264487
P13,120,17.22435895,7.997815698
P13,150,17.64042699,8.002875314
P13,180,18.6601779,20.02231134
P13,210,17.91569847,7.999697233
P13,240,16.43985345,9.989703174
P13,270,17.36805431,10.00403436
P13,300,19.23369895,7.993387446
P14,30,16.59570626,14.06978185
P14,60,19.4671354,8.009475017
P14,90,18.38866651,16.00375837
P14,120,16.49155651,6.000532884
P14,150,16.6945946,11.99831134
P14,180,19.7444949,7.993558899
P14,210,17.60315552,11.99724287
P14,240,18.22758821,7.999486294
P14,270,16.05059146,6.000137084
P14,300,21.27383222,18.01442881
P15,30,15.17892919,6.025749901
P15,60,17.33168221,7.987832809
P15,90,17.16663771,13.99409672
P15,120,16.93070097,7.999967875
P15,150,22.11032985,6.010314955
P15,180,15.42873729,11.97833175
P15,210,17.51683109,12.0015547
P15,240,19.99675115,12.00586108
P15,270,14.59004693,8.005477213
P15,300,15.2457979,7.98871368
P16,30,17.99221405,8.003928879
P16,60,22.30290762,17.98495649
P16,90,17.84567993,8.005856558
P16,120,18.00413976,19.99342219
P16,150,17.47677948,17.98013641
P16,180,19.83467009,6.000066137
P16,210,19.39078821,6.0080228
P16,240,20.2134913,17.98667454
P16,270,15.24306947,6.000126563
P16,300,9.362102972,9.996252319
P17,30,17.40871388,6.040242852
P17,60,16.56018252,7.991269707
P17,90,18.09631099,7.999035957
P17,120,13.90481645,7.990436166
P17,150,17.04231503,6.004337967
P17,180,17.82743458,15.98366428
P17,210,21.26872012,10.02365074
P17,240,18.94466165,7.988328937
P17,270,22.37498011,8.010878283
P17,300,18.3331722,15.98788213
P18,30,15.43294497,7.998375474
P18,60,15.33556069,8.010582042
P18,90,20.74164862,19.96415269
P18,120,20.33106341,8.007781062
P18,150,17.19204567,18.01219231
P18,180,16.77629315,15.99633281
P18,210,17.80094043,18.00712568
P18,240,16.59287898,9.998709452
P18,270,17.94904732,15.99596173
P18,300,19.15829385,18.0158719
P19,30,16.78023002,8.023861326
P19,60,16.57427501,15.98949067
P19,90,17.52802922,7.99589005
P19,120,15.79690387,8.010265464
P19,150,16.35382099,12.01586024
P19,180,19.6935777,16.01429935
P19,210,16.61849328,18.01936332
P19,240,20.89365975,11.97018133
P19,270,15.76701132,10.01523624
P19,300,13.19399077,8.017292465
P20,30,22.0228632,21.97073137
P20,60,17.46381849,8.012940685
P20,90,19.31187905,16.0017157
P20,120,15.67634007,16.00780807
P20,150,16.36142175,11.97745328
P20,180,15.86915666,16.01968719
P20,210,14.68966527,14.00851573
P20,240,16.80969028,15.99902326
P20,270,19.46674163,15.99091547
P20,300,15.6442958,16.01114306
P21,30,11.0664362,7.995694163
P21,60,15.42023109,8.003256598
P21,90,15.02924605,7.993608766
P21,120,17.73905919,8.004431187
P21,150,18.2428492,7.982624835
P21,180,10.86989116,6.013147597
P21,210,8.850868737,6.000648299
P21,240,16.66684543,21.98775272
P21,270,17.74382267,9.975691547
P21,300,18.31591252,26.06120083
P22,30,13.27567149,8.011103036
P22,60,10.96578754,8.006044205
P22,90,10.9138355,7.993950442
P22,120,16.84000863,8.007556668
P22,150,17.11021546,7.995268197
P22,180,12.14073712,8.006220076
P22,210,12.74311035,7.996248532
P22,240,7.949099092,6.000065368
P22,270,14.90345005,8.004268376
P22,300,13.16286447,7.998914073
P23,30,18.21765237,10.02810259
P23,60,17.18350854,6.006435918
P23,90,16.68092109,9.983925384
P23,120,21.21721021,8.021594113
P23,150,14.59449599,11.97841629
P23,180,17.24297274,10.0157742
P23,210,12.58150303,10.00138661
P23,240,10.73854305,7.988670897
P23,270,10.91598807,8.006401467
P23,300,17.21224187,10.01454723
P24,30,11.37611419,6.020580097
P24,60,16.29051328,11.99775518
P24,90,17.35078542,8.003080874
P24,120,19.1592326,7.999448115
P24,150,16.43429569,7.998452135
P24,180,17.36164355,10.0091821
P24,210,19.36906859,10.00615042
P24,240,20.72862651,13.98923885
P24,270,14.03151764,8.002138589
P24,300,17.390847,12.00882255
P25,30,14.0732458,7.994071324
P25,60,13.06688067,12.00504082
P25,90,13.52851249,11.98570685
P25,120,11.12995788,10.01836569
P25,150,11.59001804,9.998371932
P25,180,17.33518758,7.986099472
P25,210,15.49266349,8.006975296
P25,240,10.87957458,7.99800864
P25,270,15.69260222,8.01063132
P25,300,15.04944413,7.995675292